Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Persistence\Repositories\SubmissionRepository.cs,5782,8,"M:System.String.Join(System.String,System.ReadOnlySpan{System.String})",,,,,"var signedContent = string.Join(""\n"", request.TenantId.ToString(""D""), request.ProviderCode, request.ProviderEventId, request.ExternalEnvelopeId ?? string.Empty, request.EventTypeCode, request.StatusCode, request.PayloadJson, request.SignedDocumentId?.ToString(""D"") ?? string.Empty, request.CertificateDocumentId?.ToString(""D"") ?? string.Empty);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Persistence\Repositories\CertificateWorkflowRepository.cs,185,8,T:System.Text.Json.JsonDocument,,,,,using var mergeData = JsonDocument.Parse(request.MergeDataJson);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Persistence\Repositories\CertificateWorkflowRepository.cs,185,8,T:System.Text.Json.JsonDocument,,,,,using var mergeData = JsonDocument.Parse(request.MergeDataJson);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Persistence\Repositories\CertificateWorkflowRepository.cs,129,8,T:System.Text.Json.JsonDocument,,,,,_ = JsonDocument.Parse(request.MergeFieldSchemaJson);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Infrastructure\Ams.Infrastructure.csproj,File,src\Ams.Infrastructure\Persistence\Repositories\CertificateWorkflowRepository.cs,129,8,T:System.Text.Json.JsonDocument,,,,,_ = JsonDocument.Parse(request.MergeFieldSchemaJson);
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Ams.Web\Ams.Web.csproj,File,src\Ams.Web\Ams.Web.csproj,,,Microsoft.AspNetCore.SignalR.Client 9.0.0,,,,,"Microsoft.AspNetCore.SignalR.Client, 9.0.0  Recommendation:  Remove Microsoft.AspNetCore.SignalR.Client, and replace with new package Microsoft.AspNetCore.SignalR.Client 10.0.10"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Ams.Web\Ams.Web.csproj,File,src\Ams.Web\Ams.Web.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Ams.Web\Ams.Web.csproj,File,src\Ams.Web\obj\Debug\net9.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Pages/Monitoring/SecurityEvents/SecurityEventsDashboard_razor.g.cs,2412,12,M:System.Threading.Tasks.Task.WhenAll(System.ReadOnlySpan{System.Threading.Tasks.Task}),,,,,"await Task.WhenAll(summaryTask, trendsTask, eventsTask);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Web\Ams.Web.csproj,File,src\Ams.Web\obj\Debug\net9.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Pages/Contacts_razor.g.cs,2822,8,T:System.Uri,,,,,"Nav.NavigateTo(""data:text/csv;charset=utf-8,"" + Uri.EscapeDataString(csv.ToString()), forceLoad: true);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Ams.Web\Ams.Web.csproj,File,src\Ams.Web\obj\Debug\net9.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Pages/Contacts_razor.g.cs,2820,12,"M:System.String.Join(System.Char,System.ReadOnlySpan{System.String})",,,,,"csv.AppendLine(string.Join(',', Csv(row.FirstName), Csv(row.LastName), Csv(row.AccountName), Csv(row.Email), Csv(row.Phone), Csv(row.JobTitle), Csv(row.ContactTypeCode), Csv(row.StatusCode), Csv(row.PreferredContactMethod), Csv(row.IsKeyContact.ToString()), Csv(row.IsBillingContact.ToString()), Csv(row.IsServiceContact.ToString()), Csv(row.IsPortalUser.ToString()), Csv(row.CreatedDateUtc.ToLocalTime().ToString(""MM/dd/yyyy""))));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Ams.Web\Ams.Web.csproj,File,src\Ams.Web\obj\Debug\net9.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Pages/Dashboards/ExecutiveDashboard_razor.g.cs,2931,8,T:System.Uri,,,,,"Nav.NavigateTo(""data:text/csv;charset=utf-8,"" + Uri.EscapeDataString(csv.ToString()), forceLoad: true);"
